order_id,Club Name,First Order Date,Latest Ship Date,Total Products Ordered
470316,Rush Alabama,2023-01-08,2023-01-13,2
470318,Rush Idaho,2023-01-08,2023-01-18,2
470319,Rush Union Georgia,2023-01-08,2023-01-12,4
470325,Rush Idaho,2023-01-08,2023-01-12,5
470348,Rush Kansas,2023-01-08,2023-01-17,4
470360,Rush Ac Delray,2023-01-08,2023-01-12,3
470363,Rush Minnesota,2023-01-08,2023-01-21,3
470378,Rush Missouri,2023-01-08,2023-01-12,2
470379,Rush Tennessee Lobos,2023-01-08,2023-01-16,4
470381,Rush Tennessee Lobos,2023-01-08,2023-01-16,3
470387,Rush Michigan Lansing,2023-01-08,2023-01-12,4
470390,Rush Chicago North,2023-01-08,2023-01-12,6
470395,Rush Union Georgia,2023-01-08,2023-02-22,6
470402,Rush North Denver,2023-01-08,2023-01-12,2
470405,Rush Idaho,2023-01-08,2023-01-17,4
470419,Rush Hawaii,2023-01-08,2023-01-16,10
470424,Rush Flatirons,2023-01-08,2023-04-27,2
470425,Rush Kansas,2023-01-08,2023-01-12,2
470438,Rush Fremont,2023-01-09,2023-01-18,3
470452,Rush Maryland Montgomery,2023-01-09,2023-01-23,7
470453,Rush United Fc,2023-01-09,2023-02-03,7
470457,Rush Iowa,2023-01-09,2023-01-12,5
470460,Rush Hillsboro,2023-01-09,2023-01-17,4
470479,Rush Tennessee Lobos,2023-01-09,2023-01-12,4
470482,Rush Tennessee Lobos,2023-01-09,2023-01-12,5
470504,Rush Twin Cities,2023-01-09,2023-01-12,3
470506,Rush Tennessee Lobos,2023-01-09,2023-01-16,4
470512,Rush Idaho,2023-01-09,2023-01-17,6
470513,Rush Coastal Bayside,2023-01-09,2023-01-12,2
470515,Rush Tennessee Lobos,2023-01-09,2023-01-11,2
470517,Rush Minnesota,2023-01-09,2023-01-23,7
470521,Rush Bellevue,2023-01-09,2023-01-17,6
470522,Rush Fremont,2023-01-09,2023-01-16,3
470523,Rush Fremont,2023-01-09,2023-01-20,3
470528,Rush Florida,2023-01-09,2023-01-12,6
470543,Rush Ny Rochester,2023-01-09,2023-01-25,3
