Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
576001,Rush Coaches,2024-03-15,1,1,-,2024-03-20,SHIPPED
576001,Rush National Soccer,2024-03-15,1,1,-,2024-03-20,SHIPPED
576002,Rush Vsa,2024-03-15,1,1,-,2024-03-27,SHIPPED
576032,Rush United Fc,2024-03-15,1,1,-,2024-03-26,SHIPPED
576032,Rush Vsa,2024-03-15,13,111111211111,------------,2024-03-26,SHIPPED
576288,Rush Coaches,2024-03-18,1,1,-,2024-03-25,SHIPPED
576370,Rush Coaches,2024-03-18,1,1,-,2024-03-27,SHIPPED
576370,Rush National Soccer,2024-03-18,1,1,-,2024-03-27,SHIPPED
576386,Rush Hawaii,2024-03-18,1,1,-,2024-03-25,SHIPPED
576386,Rush National Soccer,2024-03-18,2,11,--,2024-03-25,SHIPPED
576505,Rush Iowa,2024-03-19,2,2,-,2024-03-26,SHIPPED
576505,Rush Vsa,2024-03-19,4,22,--,2024-03-26,SHIPPED
576760,Rush Idaho,2024-03-21,1,1,-,2024-03-27,SHIPPED
576760,Rush Vsa,2024-03-21,5,221,---,2024-03-27,SHIPPED
576770,Rush National Soccer,2024-03-25,3,111,---,2024-04-02,SHIPPED
576825,Rush Idaho,2024-03-21,2,11,--,2024-03-27,SHIPPED
576825,Rush Ny Syracuse,2024-03-21,1,1,-,2024-03-27,SHIPPED
576929,Rush Vsa,2024-03-22,3,12,--,2024-03-26,SHIPPED
576959,Rush Missouri,2024-03-22,1,1,-,2024-03-27,SHIPPED
576959,Rush Vsa,2024-03-22,1,1,-,2024-03-27,SHIPPED
577154,Rush National Soccer,2024-03-25,1,1,-,2024-04-02,SHIPPED
577165,Rush National Soccer,2024-03-25,4,1111,----,2024-04-02,SHIPPED
577195,Rush National Soccer,2024-03-25,5,11111,-----,2024-04-05,SHIPPED
577195,Rush Ny Select,2024-03-25,1,1,-,2024-04-05,SHIPPED
577196,Rush National Soccer,2024-03-25,3,111,---,2024-04-02,SHIPPED
577237,Rush San Jose,2024-03-25,1,1,-,2024-04-02,SHIPPED
577267,Rush Rock,2024-03-25,1,1,-,2024-04-05,SHIPPED
577267,Rush San Jose,2024-03-25,2,11,--,2024-04-05,SHIPPED
577493,Rush Twin Cities,2024-03-27,1,1,-,2024-04-03,SHIPPED
577493,Rush Vsa,2024-03-27,2,11,--,2024-04-03,SHIPPED
577504,Rush Iowa,2024-03-27,1,1,-,2024-04-03,SHIPPED
577525,Rush Hawaii,2024-03-28,2,11,--,2024-04-05,SHIPPED
577525,Rush Virginia,2024-03-28,1,1,-,2024-04-05,SHIPPED
577626,Rush Bluffton,2024-04-03,2,11,--,2024-05-01,SHIPPED
577626,Rush Pennsylvania,2024-04-03,1,1,-,2024-05-01,SHIPPED
577760,Rush Coaches,2024-04-01,5,11111,-----,2024-05-08,SHIPPED
577760,Rush Iowa North,2024-04-01,1,1,-,2024-05-08,SHIPPED
577830,Rush Iowa,2024-04-03,1,1,-,2024-05-13,SHIPPED
577830,Rush Pennsylvania,2024-04-03,5,11111,-----,2024-05-13,SHIPPED
578069,Rush Coaches,2024-04-03,2,11,--,2024-04-11,SHIPPED
578069,Rush Missouri,2024-04-03,1,1,-,2024-04-11,SHIPPED
578318,Rush Florida,2024-04-07,1,1,-,2024-04-15,SHIPPED
578435,Rush Delmarva,2024-04-08,1,1,-,2024-04-15,SHIPPED
578435,Rush National Soccer,2024-04-08,1,1,-,2024-04-15,SHIPPED
578530,Rush Gateway,2024-04-10,1,1,-,2024-04-17,SHIPPED
578530,Rush National Soccer,2024-04-10,1,1,-,2024-04-17,SHIPPED
578647,Rush Virginia,2024-04-11,4,4,-,2024-04-17,SHIPPED
578712,Rush Delmarva,2024-04-16,1,1,-,2024-04-19,SHIPPED
578713,Rush Canada,2024-04-12,1,1,-,2024-04-19,SHIPPED
578718,Rush Minnesota,2024-04-12,1,1,-,2024-05-16,SHIPPED
578718,Rush Twin Cities,2024-04-12,7,1111111,-------,2024-05-16,SHIPPED
578767,Rush National Soccer,2024-04-13,1,1,-,2024-04-19,SHIPPED
578767,Rush West Texas,2024-04-13,1,1,-,2024-04-19,SHIPPED
578803,Rush Superior,2024-04-14,2,2,-,2024-04-18,SHIPPED
578889,Rush Coaches,2024-04-15,1,1,-,2024-04-18,SHIPPED
578890,Rush Coaches,2024-04-15,3,111,---,2024-06-10,SHIPPED
578890,Rush United Fc,2024-04-15,1,1,-,2024-06-10,SHIPPED
578891,Rush California,2024-04-15,1,1,-,2024-04-19,SHIPPED
578946,Rush Alaska,2024-04-18,1,1,-,2024-04-22,SHIPPED
578946,Rush Twin Cities,2024-04-18,1,1,-,2024-04-22,SHIPPED
579067,Rush Ny Albany,2024-04-18,20,20,-,2024-04-19,SHIPPED
579082,Rush Ny Syracuse,2024-04-18,1,1,-,2024-04-22,SHIPPED
579082,Rush Pennsylvania,2024-04-18,1,1,-,2024-04-22,SHIPPED
579091,Rush Coaches,2024-04-23,3,111,---,2024-05-24,SHIPPED
579091,Rush Pennsylvania,2024-04-23,1,1,-,2024-05-24,SHIPPED
579105,Rush Twin Cities,2024-04-19,1,1,-,2024-04-29,SHIPPED
579153,Rush Iowa North,2024-04-20,1,1,-,2024-04-29,SHIPPED
579153,Rush National Soccer,2024-04-20,1,1,-,2024-04-29,SHIPPED
579180,Rush Alaska,2024-04-21,1,1,-,2024-04-29,SHIPPED
579180,Rush Coaches,2024-04-21,4,1111,----,2024-04-29,SHIPPED
579201,Rush Mississippi,2024-04-23,1,1,-,2024-04-29,SHIPPED
579201,Rush Pennsylvania,2024-04-23,1,1,-,2024-04-29,SHIPPED
579205,Rush National Soccer,2024-04-21,1,1,-,2024-05-08,SHIPPED
579205,Rush Twin Cities,2024-04-21,1,1,-,2024-05-08,SHIPPED
579206,Rush Kansas Wichita,2024-04-21,1,1,-,2024-04-26,SHIPPED
579298,Rush Coaches,2024-04-23,2,11,--,2024-04-29,SHIPPED
579298,Rush Twin Cities,2024-04-23,1,1,-,2024-04-29,SHIPPED
579311,Rush National Soccer,2024-04-23,1,1,-,2024-04-30,SHIPPED
579311,Rush Superior,2024-04-23,1,1,-,2024-04-30,SHIPPED
579317,Rush North Carolina,2024-04-26,1,1,-,2024-05-03,SHIPPED
579317,Rush Virginia,2024-04-26,1,1,-,2024-05-03,SHIPPED
579340,Rush North Denver,2024-04-24,1,1,-,2024-04-29,SHIPPED
579437,Rush Coaches,2024-05-02,16,88,--,2024-05-28,SHIPPED
579437,Rush Rock,2024-05-02,1,1,-,2024-05-28,SHIPPED
579550,Rush Coaches,2024-04-29,1,1,-,2024-05-03,SHIPPED
579551,Rush Coaches,2024-04-29,3,111,---,2024-05-03,SHIPPED
579551,Rush Southwest Missouri,2024-04-29,1,1,-,2024-05-03,SHIPPED
579618,Rush Coaches,2024-04-30,1,1,-,2024-05-09,SHIPPED
579618,Rush National Soccer,2024-04-30,1,1,-,2024-05-09,SHIPPED
579619,Rush National Soccer,2024-04-30,3,111,---,2024-05-09,SHIPPED
579619,Rush Nevada,2024-04-30,1,1,-,2024-05-09,SHIPPED
579636,Rush Pennsylvania,2024-04-30,2,11,--,2024-05-08,SHIPPED
579639,Rush Coaches,2024-04-30,1,1,-,2024-05-22,SHIPPED
579639,Rush United Fc,2024-04-30,1,1,-,2024-05-22,SHIPPED
579706,Rush Coaches,2024-05-02,6,222,---,2024-05-10,SHIPPED
579706,Rush United Fc,2024-05-02,2,2,-,2024-05-10,SHIPPED
579781,Rush Idaho,2024-05-05,1,1,-,2024-05-08,SHIPPED
579781,Rush National Soccer,2024-05-05,1,1,-,2024-05-08,SHIPPED
579787,Rush National Soccer,2024-05-05,1,1,-,2024-05-10,SHIPPED
579790,Rush Chicago Oswego,2024-05-05,1,1,-,2024-05-10,SHIPPED
579790,Rush National Soccer,2024-05-05,1,1,-,2024-05-10,SHIPPED
579835,Rush National Soccer,2024-05-06,4,1111,----,2024-05-28,SHIPPED
579835,Rush Twin Cities,2024-05-06,1,1,-,2024-05-28,SHIPPED
579839,Rush Coaches,2024-05-06,3,111,---,2024-05-28,SHIPPED
579839,Rush New Jersey Santos,2024-05-06,7,7,-,2024-05-28,SHIPPED
579876,Rush National Soccer,2024-05-07,1,1,-,2024-05-14,SHIPPED
579876,Rush Ny Syracuse,2024-05-07,1,1,-,2024-05-14,SHIPPED
579904,Rush Kansas Wichita,2024-05-10,1,1,-,2024-05-15,SHIPPED
579904,Rush Minnesota,2024-05-10,4,1111,----,2024-05-15,SHIPPED
579923,Rush Chicago Oswego,2024-05-09,1,1,-,2024-05-14,SHIPPED
579934,Rush Maryland,2024-05-14,1,1,-,2024-05-21,SHIPPED
579947,Rush Massachusetts,2024-05-09,1,1,-,2024-05-14,SHIPPED
579947,Rush National Soccer,2024-05-09,1,1,-,2024-05-14,SHIPPED
580002,Rush Fort Lauderdale,2024-05-11,1,1,-,2024-05-15,SHIPPED
580132,Rush La Krewe Lafayette,2024-05-16,1,1,-,2024-05-21,SHIPPED
580145,Rush Lvu,2024-05-16,1,1,-,2024-05-22,SHIPPED
580180,Rush San Jose,2024-05-18,1,1,-,2024-05-29,SHIPPED
580201,Rush Hillsboro,2024-05-20,1,1,-,2024-05-29,SHIPPED
580201,Rush National Soccer,2024-05-20,2,11,--,2024-05-29,SHIPPED
580265,Rush Emerald Coast United,2024-05-21,1,1,-,2024-05-29,SHIPPED
580265,Rush National Soccer,2024-05-21,5,212,---,2024-05-29,SHIPPED
580288,Rush Alaska,2024-05-29,1,1,-,2024-06-05,SHIPPED
580288,Rush National Soccer,2024-05-29,6,1311,----,2024-06-05,SHIPPED
580302,Rush Chicago Oswego,2024-05-23,1,1,-,2024-07-22,SHIPPED
580302,Rush Coaches,2024-05-23,7,1111111,-------,2024-10-07,SHIPPED
580347,Rush Maryland,2024-05-25,1,1,-,2024-06-04,SHIPPED
580347,Rush Twin Cities,2024-05-25,3,21,--,2024-06-04,SHIPPED
580454,Rush Canada,2024-05-28,2,2,-,2024-05-31,SHIPPED
580454,Rush Phoenix,2024-05-28,1,1,-,2024-05-31,SHIPPED
580461,Rush Washington,2024-05-28,1,1,-,2024-05-31,SHIPPED
580477,Rush La Krewe Alexandria,2024-05-29,1,1,-,2024-06-05,SHIPPED
580477,Rush Twin Cities,2024-05-29,2,11,--,2024-06-05,SHIPPED
580481,Rush Coaches,2024-05-29,3,111,---,2024-07-17,SHIPPED
580481,Rush Washington,2024-05-29,1,1,-,2024-07-17,SHIPPED
580532,Rush National Soccer,2024-05-31,3,111,---,2024-06-05,SHIPPED
580532,Rush Washington,2024-05-31,1,1,-,2024-06-05,SHIPPED
580536,Rush Union Georgia,2024-05-31,1,1,-,2024-06-19,SHIPPED
580596,Rush National Soccer,2024-06-01,1,1,-,2024-06-10,SHIPPED
580596,Rush Washington,2024-06-01,1,1,-,2024-06-10,SHIPPED
580615,Rush Coaches,2024-06-04,1,1,-,2024-07-22,SHIPPED
580615,Rush Mississippi,2024-06-04,1,1,-,2024-07-22,SHIPPED
580634,Rush Idaho,2024-06-02,1,1,-,2024-06-10,SHIPPED
580660,Rush Pennsylvania,2024-06-03,1,1,-,2024-06-06,SHIPPED
580725,Rush Pensacola Fc,2024-06-03,1,1,-,2024-06-10,SHIPPED
580736,Rush Pennsylvania,2024-06-04,2,11,--,2024-07-18,SHIPPED
580736,Rush Washington,2024-06-04,1,1,-,2024-07-18,SHIPPED
580745,Rush Coaches,2024-06-04,20,20,-,2024-08-02,SHIPPED
580745,Rush San Jose,2024-06-04,4,4,-,2024-08-02,SHIPPED
580952,Rush National Soccer,2024-06-07,1,1,-,2024-06-19,SHIPPED
580952,Rush Union Georgia,2024-06-07,1,1,-,2024-06-19,SHIPPED
580955,Rush Florida,2024-06-07,1,1,-,2024-06-14,SHIPPED
580990,Rush Hillsboro,2024-06-08,1,1,-,2024-07-18,SHIPPED
580999,Rush National Soccer,2024-06-14,1,1,-,2024-06-24,SHIPPED
580999,Rush Ny Syracuse,2024-06-14,1,1,-,2024-06-24,SHIPPED
581047,Rush Chicago Oswego,2024-06-10,1,1,-,2024-06-14,SHIPPED
581047,Rush National Soccer,2024-06-10,1,1,-,2024-06-14,SHIPPED
581117,Rush National Soccer,2024-06-11,1,1,-,2024-06-18,SHIPPED
581123,Rush Coastal Perdido,2024-06-11,1,1,-,2024-06-17,SHIPPED
581123,Rush National Soccer,2024-06-11,1,1,-,2024-06-17,SHIPPED
581170,Rush National Soccer,2024-06-12,1,1,-,2024-06-24,SHIPPED
581170,Rush Quad Cities,2024-06-12,2,11,--,2024-06-24,SHIPPED
581269,Rush Victory,2024-06-13,1,1,-,2024-06-18,SHIPPED
581275,Rush Vsa,2024-06-14,2,2,-,2024-06-24,SHIPPED
581305,Rush National Soccer,2024-06-14,1,1,-,2024-06-21,SHIPPED
581305,Rush Vsa,2024-06-14,19,212122222111,------------,2024-06-21,SHIPPED
581332,Rush Hawaii,2024-06-15,1,1,-,2024-06-21,SHIPPED
581332,Rush National Soccer,2024-06-15,3,111,---,2024-06-21,SHIPPED
581340,Rush Vsa,2024-06-15,1,1,-,2024-09-18,SHIPPED
581351,Rush Vsa,2024-06-15,17,-121122121111,1------------,2024-08-23,SHIPPED
581452,Rush Vsa,2024-06-18,15,111111111111111,---------------,2024-08-20,SHIPPED
581455,Rush Vsa,2024-06-18,16,1111112221111,-------------,2024-09-13,SHIPPED
581456,Rush Vsa,2024-06-18,18,1121122221111,-------------,2024-09-25,SHIPPED
581459,Rush Vsa,2024-06-18,18,113241111111,------------,2024-08-20,SHIPPED
581463,Rush Vsa,2024-06-18,20,1121222114111,-------------,2024-07-30,SHIPPED
581477,Rush Vsa,2024-06-18,22,1111411111144,-------------,2024-07-27,SHIPPED
581478,Rush Vsa,2024-06-18,13,1111111111111,-------------,2024-07-30,SHIPPED
581481,Rush Vsa,2024-06-18,16,1111221111112,-------------,2024-08-20,SHIPPED
581482,Rush Vsa,2024-06-18,22,1121123341111,-------------,2024-07-30,SHIPPED
581483,Rush Vsa,2024-06-18,16,1111111222111,-------------,2024-07-30,SHIPPED
581484,Rush Vsa,2024-06-18,19,-121122231111,1------------,2024-08-23,SHIPPED
581488,Rush Vsa,2024-06-18,16,1111112221111,-------------,2024-08-20,SHIPPED
581500,Rush Coaches,2024-06-24,2,2,-,2024-07-18,SHIPPED
581501,Rush Vsa,2024-06-18,25,1112112445111,-------------,2024-08-20,SHIPPED
581502,Rush Vsa,2024-06-18,16,1111112221111,-------------,2024-08-20,SHIPPED
581511,Rush National Soccer,2024-06-19,1,1,-,2024-10-07,SHIPPED
581511,Rush Vsa,2024-06-19,15,111111222111,------------,2024-10-07,SHIPPED
581522,Rush National Soccer,2024-06-19,1,1,-,2024-07-22,SHIPPED
581522,Rush Vsa,2024-06-19,1,1,-,2024-07-22,SHIPPED
581523,Rush Vsa,2024-06-19,11,1112111111,----------,2024-08-19,SHIPPED
581528,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-07-24,SHIPPED
581531,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-08-19,SHIPPED
581533,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-08-19,SHIPPED
581534,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-07-30,SHIPPED
581535,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-07-31,SHIPPED
581536,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-08-12,SHIPPED
581537,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-08-14,SHIPPED
581538,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-07-30,SHIPPED
581539,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-07-30,SHIPPED
581541,Rush Vsa,2024-06-19,13,1111111111111,-------------,2024-10-08,SHIPPED
581548,Rush Vsa,2024-06-19,19,1111113331111,-------------,2024-08-20,SHIPPED
581553,Rush Coaches,2024-06-24,2,11,--,2024-07-16,SHIPPED
581553,Rush Vsa,2024-06-24,1,1,-,2024-09-18,SHIPPED
581568,Rush Vsa,2024-06-20,10,1111111111,----------,2024-07-17,SHIPPED
581574,Rush Vsa,2024-06-20,6,111111,------,2024-07-17,SHIPPED
581579,Rush Vsa,2024-06-20,14,1111111121111,-------------,2024-07-17,SHIPPED
581583,Rush Gateway,2024-06-20,1,1,-,2024-08-24,SHIPPED
581583,Rush Vsa,2024-06-20,17,112112222111,------------,2024-10-10,SHIPPED
581610,Rush Vsa,2024-06-21,16,1111112212111,-------------,2024-07-18,SHIPPED
581643,Rush Vsa,2024-06-21,18,1121122221111,-------------,2024-07-25,SHIPPED
581654,Rush Vsa,2024-06-21,16,121111144,---------,2024-08-14,SHIPPED
581674,Rush Vsa,2024-06-22,2,11,--,2024-07-18,SHIPPED
581679,Rush Vsa,2024-07-01,21,11211232311111,--------------,2024-10-08,SHIPPED
581681,Rush Vsa,2024-06-22,6,11121,-----,2024-08-08,SHIPPED
581682,Rush Vsa,2024-06-22,20,1221222221111,-------------,2024-08-14,SHIPPED
581683,Rush Vsa,2024-06-22,13,1111111111111,-------------,2024-09-13,SHIPPED
581687,Rush Vsa,2024-06-22,10,1111111111,----------,2024-09-25,SHIPPED
581689,Rush Vsa,2024-06-22,13,1221112111,----------,2024-07-18,SHIPPED
581690,Rush Vsa,2024-06-22,18,1132121111112,-------------,2024-08-12,SHIPPED
581692,Rush Vsa,2024-06-22,2,11,--,2024-07-17,SHIPPED
581694,Rush Vsa,2024-06-22,13,1111111111111,-------------,2024-09-25,SHIPPED
581701,Rush Vsa,2024-06-23,13,1111111111111,-------------,2024-09-25,SHIPPED
581712,Rush Vsa,2024-06-23,6,111111,------,2024-07-30,SHIPPED
581713,Rush Vsa,2024-06-23,9,1111311,-------,2024-08-08,SHIPPED
