Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
1411191,Rush Mobile,2025-06-15,11.0,11.0,0.0,2025-06-30,SHIPPED
1411192,Rush Phoenix,2025-06-15,12.0,12.0,0.0,2025-07-03,SHIPPED
1411193,Rush Bulls,2025-06-15,28.0,28.0,0.0,2025-06-30,SHIPPED
1411194,Rush Colorado North,2025-06-15,12.0,12.0,0.0,2025-06-30,SHIPPED
1411195,Rush Chicago North Shore,2025-06-15,10.0,10.0,0.0,2025-06-29,SHIPPED
1411204,Rush Pennsylvania,2025-06-15,17.0,17.0,0.0,2025-06-30,SHIPPED
1411209,Rush Iowa South,2025-06-15,8.0,8.0,0.0,2025-07-09,SHIPPED
1411211,Rush Gateway,2025-06-15,12.0,12.0,0.0,2025-06-28,SHIPPED
1411212,Rush Mobile,2025-06-15,8.0,8.0,0.0,2025-06-30,SHIPPED
1411219,Rush Iowa,2025-06-15,4.0,4.0,0.0,2025-07-07,SHIPPED
1411221,Rush Bulls,2025-06-15,14.0,14.0,0.0,2025-06-30,SHIPPED
1411222,Rush Mobile,2025-06-15,12.0,12.0,0.0,2025-07-08,SHIPPED
1411223,Rush Pensacola Fc,2025-06-15,20.0,20.0,0.0,2025-07-01,SHIPPED
1411224,Rush Iowa North,2025-06-15,6.0,6.0,0.0,2025-07-09,SHIPPED
1411225,Rush Bluffton,2025-06-15,9.0,9.0,0.0,2025-06-30,SHIPPED
1411228,Rush Pensacola Fc,2025-06-15,8.0,8.0,0.0,2025-08-06,SHIPPED
1411231,Rush Mississippi,2025-06-15,9.0,9.0,0.0,2025-06-29,SHIPPED
1411234,Rush Ac Delray,2025-06-15,10.0,10.0,0.0,2025-07-08,SHIPPED
1411235,Rush Chicago North Shore,2025-06-15,9.0,9.0,0.0,2025-06-29,SHIPPED
1411240,Rush Mobile,2025-06-15,9.0,9.0,0.0,2025-07-08,SHIPPED
1411241,Rush Mississippi,2025-06-15,7.0,7.0,0.0,2025-06-29,SHIPPED
1411242,Rush Kansas,2025-06-15,10.0,10.0,0.0,2025-06-28,SHIPPED
1411244,Rush Mobile,2025-06-15,13.0,13.0,0.0,2025-06-30,SHIPPED
1411250,Rush Colorado Springs,2025-06-15,14.0,14.0,0.0,2025-06-30,SHIPPED
1411251,Rush Pensacola Fc,2025-06-15,20.0,20.0,0.0,2025-07-09,SHIPPED
1411252,Rush Kansas,2025-06-15,12.0,12.0,0.0,2025-06-28,SHIPPED
1411253,Rush Mobile,2025-06-15,14.0,14.0,0.0,2025-06-30,SHIPPED
1411255,Rush Mississippi,2025-06-15,10.0,10.0,0.0,2025-06-29,SHIPPED
